RecordingDate,2021/06/16 15:20:22
WindowSize,800×600

PlayScene,TapObjectName,TapPointX,TapPointY,TapTime[ms],isClickable
グループアクティビティ,RelaxMethodInputListView,298,220,2183,True
グループアクティビティ,RelaxMethodInputCanvasListView,222,214,3158,True
グループアクティビティ,InputCanvasPlusButton,211,295,3709,True
グループアクティビティ,RelaxMethodInputCanvasListView,187,302,4301,True
グループアクティビティ,InputCanvasPlusButton,206,377,5106,True
グループアクティビティ,RelaxMethodInputCanvasListView,208,379,5567,True
グループアクティビティ,InputCanvasPlusButton,331,411,9237,True
グループアクティビティ,RelaxMethodInputCanvasListView,333,336,11838,True
グループアクティビティ,RelaxMethodInputCanvasListView,360,333,12453,True
グループアクティビティ,InputCanvasPlusButton,334,418,12930,True
グループアクティビティ,RelaxMethodInputCanvasListView,384,329,15160,True
グループアクティビティ,RelaxMethodInputCanvasListView,384,331,15948,True
グループアクティビティ,,740,332,17866,True
グループアクティビティ,InputCanvasPlusButton,298,424,18956,True
グループアクティビティ,RelaxMethodInputCanvasListView,440,330,20334,True
グループアクティビティ,CompleteInputButton,728,122,21622,True
グループアクティビティ,NextGoImage,735,463,23680,True
グループアクティビティ,BackPageBeforeImage,84,468,30604,True
グループアクティビティ,NextGoImage,712,468,33683,True
